127.0.0.1 - - [11/Jun/2016:09:57:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Jun/2016:09:57:30 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [11/Jun/2016:09:57:52 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:05:41 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:05:54 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:07:06 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:07:06 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:07:10 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:07:36 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:08:46 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:09:32 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:10:21 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:10:24 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:10:40 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:10:51 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:10:55 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:12:24 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:12:44 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:15:09 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:16:33 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:16:48 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:18:14 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:19:18 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:19:23 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:19:59 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:20:10 +0530] "GET /ShoppingCart/tester.jsp HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:20:48 +0530] "GET /ShoppingCart/Login.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:21:00 +0530] "GET /ShoppingCart/Login.jsp HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:26:15 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:26:40 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:28:59 +0530] "GET /ShoppingCart/home.jsp HTTP/1.1" 200 6517
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:28:59 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:28:59 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:28:59 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:29:45 +0530] "GET /ShoppingCart/home.jsp HTTP/1.1" 200 6517
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:29:45 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:29:45 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:29:46 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:29:46 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 9446
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
